39,spotify:artist:3CQIn7N5CuRDP8wEI7FiDA,Run–D.M.C.,Run–D.M.C.,spotify:artist:3CQIn7N5CuRDP8wEI7FiDA
40,spotify:artist:2ooIqOf4X2uz4mMptXCtie,Neutral Milk Hotel,Neutral Milk Hotel,spotify:artist:2ooIqOf4X2uz4mMptXCtie
41,spotify:artist:0gxyHStUsqpMadRV0Di1Qt,Rick Astley,Rick Astley,spotify:artist:0gxyHStUsqpMadRV0Di1Qt
42,spotify:artist:7oPftvlwr6VrsViSDV7fJY,Green Day,Green Day,spotify:artist:7oPftvlwr6VrsViSDV7fJY
43,spotify:artist:3IKV7o6WPphDB7cCWXaG3E,Isaac Hayes,Isaac Hayes,spotify:artist:3IKV7o6WPphDB7cCWXaG3E
44,spotify:artist:699OTQXzgjhIYAHMy9RyPD,Playboi Carti,Playboi Carti,spotify:artist:699OTQXzgjhIYAHMy9RyPD
45,spotify:artist:6O2zJ0tId7g07yzHtX0yap,Mobb Deep,Mobb Deep,spotify:artist:6O2zJ0tId7g07yzHtX0yap
46,spotify:artist:3TVXtAsR1Inumwj472S9r4,Drake,Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4
47,spotify:artist:6eXZu6O7nAUA5z6vLV8NKI,Little Simz,Little Simz,spotify:artist:6eXZu6O7nAUA5z6vLV8NKI
48,spotify:artist:7Ey4PD4MYsKc5I2dolUwbH,Aerosmith,Aerosmith,spotify:artist:7Ey4PD4MYsKc5I2dolUwbH
49,spotify:artist:35l9BRT7MXmM8bv2WDQiyB,beabadoobee,beabadoobee,spotify:artist:35l9BRT7MXmM8bv2WDQiyB
50,spotify:artist:2aoFQUeHD1U7pL098lRsDU,Madvillain,Madvillain,spotify:artist:2aoFQUeHD1U7pL098lRsDU
51,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,Michael Jackson,spotify:artist:3fMbdgg4jU18AjLCKBhRSm
52,spotify:artist:2x9SpqnPi8rlE9pjHBwmSC,Talking Heads,Talking Heads,spotify:artist:2x9SpqnPi8rlE9pjHBwmSC
53,spotify:artist:19y5MFBH7gohEdGwKM7QsP,Luther Vandross,Luther Vandross,spotify:artist:19y5MFBH7gohEdGwKM7QsP
54,spotify:artist:3qiHUAX7zY4Qnjx8TNUzVx,Yeat,Yeat,spotify:artist:3qiHUAX7zY4Qnjx8TNUzVx
55,spotify:artist:6Ghvu1VvMGScGpOUJBAHNH,Deftones,Deftones,spotify:artist:6Ghvu1VvMGScGpOUJBAHNH
56,spotify:artist:2HPiMwJktBXqakN0hnON2R,Lous and The Yakuza,Lous and The Yakuza,spotify:artist:2HPiMwJktBXqakN0hnON2R
57,spotify:artist:3ENnUCpAIcPmffEj736hNa,Dirty Bird,Dirty Bird,spotify:artist:3ENnUCpAIcPmffEj736hNa
58,spotify:artist:450o9jw6AtiQlQkHCdH6Ru,Funkadelic,Funkadelic,spotify:artist:450o9jw6AtiQlQkHCdH6Ru
59,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,Daft Punk,spotify:artist:4tZwfgrHOc3mvqYlEYSvVi
60,spotify:artist:6CWTBjOJK75cTE8Xv8u1kj,Feist,Feist,spotify:artist:6CWTBjOJK75cTE8Xv8u1kj
61,spotify:artist:0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,Nicki Minaj,spotify:artist:0hCNtLu0JehylgoiP8L4Gh
62,spotify:artist:6vWDO969PvNqNYHIOW5v0m,Beyoncé,Beyoncé,spotify:artist:6vWDO969PvNqNYHIOW5v0m
63,spotify:artist:50co4Is1HCEo8bhOyUWKpn,Young Thug,Young Thug,spotify:artist:50co4Is1HCEo8bhOyUWKpn
64,spotify:artist:3RGLhK1IP9jnYFH4BRFJBS,The Clash,The Clash,spotify:artist:3RGLhK1IP9jnYFH4BRFJBS
65,spotify:artist:320TrJub4arztwXRm7kqVO,Dr. John,Dr. John,spotify:artist:320TrJub4arztwXRm7kqVO
66,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR,Eminem,Eminem,spotify:artist:7dGJo4pcD2V6oG8kP0tJRR
67,spotify:artist:6ns6XAOsw4B0nDUIovAOUO,GZA,GZA,spotify:artist:6ns6XAOsw4B0nDUIovAOUO
68,spotify:artist:3nlpTZci9O5W8RsNoNH559,Juan Luis Guerra 4.40,Juan Luis Guerra 4.40,spotify:artist:3nlpTZci9O5W8RsNoNH559
69,spotify:artist:7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,Arctic Monkeys,spotify:artist:7Ln80lUS6He07XvHI8qqHH
70,spotify:artist:0epOFNiUfyON9EYx7Tpr6V,The Strokes,The Strokes,spotify:artist:0epOFNiUfyON9EYx7Tpr6V
71,spotify:artist:4ClziihVpBeFXNyDH83Lde,UMI,UMI,spotify:artist:4ClziihVpBeFXNyDH83Lde
72,spotify:artist:0k17h0D3J5VfsdmQ1iZtE9,Pink Floyd,Pink Floyd,spotify:artist:0k17h0D3J5VfsdmQ1iZtE9
73,spotify:artist:2p1fiYHYiXz9qi0JJyxBzN,Skepta,Skepta,spotify:artist:2p1fiYHYiXz9qi0JJyxBzN
74,spotify:artist:1ybINI1qPiFbwDXamRtwxD,Smino,Smino,spotify:artist:1ybINI1qPiFbwDXamRtwxD
75,spotify:artist:2mVVjNmdjXZZDvhgQWiakk,Khruangbin,Khruangbin,spotify:artist:2mVVjNmdjXZZDvhgQWiakk
76, spotify:artist:68kEuyFKyqrdQQLLsmiatm, Vince Staples,Vince Staples,spotify:artist:68kEuyFKyqrdQQLLsmiatm
77, spotify:artist:0v2oB2xMS64U3lcU5DFuCY, Peven Everett,Peven Everett,spotify:artist:0v2oB2xMS64U3lcU5DFuCY
78, spotify:artist:62DmErcU7dqZbJaDqwsqzR, Popcaan,Popcaan,spotify:artist:62DmErcU7dqZbJaDqwsqzR
79, spotify:artist:1Z8ODXyhEBi3WynYw0Rya6, De La Soul,De La Soul,spotify:artist:1Z8ODXyhEBi3WynYw0Rya6
80, spotify:artist:7aA592KWirLsnfb5ulGWvU, Danny Brown,Danny Brown,spotify:artist:7aA592KWirLsnfb5ulGWvU
81, spotify:artist:2f9ZiYA2ic1r1voObUimdd, Grace Jones,Grace Jones,spotify:artist:2f9ZiYA2ic1r1voObUimdd
82, spotify:artist:5M0lbkGluOPXLeFjApw8r8, DRAM,DRAM,spotify:artist:5M0lbkGluOPXLeFjApw8r8
83, spotify:artist:2DzRMyWgjuMbYvt5BLbpCo, Anthony Hamilton,Anthony Hamilton,spotify:artist:2DzRMyWgjuMbYvt5BLbpCo
84, spotify:artist:0cTSCsVx04SSht9V6cpKN0, Mavis Staples,Mavis Staples,spotify:artist:0cTSCsVx04SSht9V6cpKN0
85, spotify:artist:5obQFNrkFoWB51hm1JTHMw, Jamie Principle,Jamie Principle,spotify:artist:5obQFNrkFoWB51hm1JTHMw
86, spotify:artist:1U1el3k54VvEUzo3ybLPlM, Kali Uchis,Kali Uchis,spotify:artist:1U1el3k54VvEUzo3ybLPlM
87, spotify:artist:7zHIrsSBL7A0gEJfzv1m7z, Benjamin Clementine,Benjamin Clementine,spotify:artist:7zHIrsSBL7A0gEJfzv1m7z
88, spotify:artist:2WOMBqEsllg2ICn7D2L8ta, Jehnny Beth,Jehnny Beth,spotify:artist:2WOMBqEsllg2ICn7D2L8ta
89, spotify:artist:4f9iBmdUOhQWeP7dcAn1pf, Rag'n'Bone Man,Rag'n'Bone Man,spotify:artist:4f9iBmdUOhQWeP7dcAn1pf
90, spotify:artist:7lsnwlX6puQ7lcpSEpJbZE, Kilo Kish,Kilo Kish,spotify:artist:7lsnwlX6puQ7lcpSEpJbZE
91, spotify:artist:4FtSnMlCVxCswABUmdhwpm, Carly Simon,Carly Simon,spotify:artist:4FtSnMlCVxCswABUmdhwpm
92, spotify:artist:49hxY3aryuNE1UJpuJ0YJf, Brandon Markell Holmes,Brandon Markell Holmes,spotify:artist:49hxY3aryuNE1UJpuJ0YJf
93, spotify:artist:3jK9MiCrA42lLAdMGUZpwa, Anderson .Paak,Anderson .Paak,spotify:artist:3jK9MiCrA42lLAdMGUZpwa
94, spotify:artist:4qXC0i02bSFstECuXP2ZpL, Blxst,Blxst,spotify:artist:4qXC0i02bSFstECuXP2ZpL
95, spotify:artist:2WoVwexZuODvclzULjPQtm, Sampha,Sampha,spotify:artist:2WoVwexZuODvclzULjPQtm
