Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,ExplicitOld,Popularity,Added By,Added At,Genres,,,,,,Explicit
spotify:track:4JOyMhad5dD81uGYLGgKrS,Mean Mr Mustard - Remastered 2009,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,spotify:album:0ETFjACtuP2ADo6LFhL6HN,Abbey Road (Remastered),spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,1969-09-26,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25,1,11,66533,https://p.scdn.co/mp3-preview/8bf1b70d8cdf0697e5b515c04f4bc6d121486443?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,55,spotify:user:adanias,2022-10-21T18:27:51Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",,,,,,FALSE
spotify:track:1FTCA6wQwulQFokDddKE68,Polythene Pam - Remastered 2009,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,spotify:album:0ETFjACtuP2ADo6LFhL6HN,Abbey Road (Remastered),spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,1969-09-26,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25,1,12,72640,https://p.scdn.co/mp3-preview/3b3d1efff18456a7d8b6bfecad3a4fcec6a3b4b1?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,55,spotify:user:adanias,2022-10-21T18:27:51Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",,,,,,FALSE
spotify:track:2jtUGFsqanQ82zqDlhiKIp,She Came In Through The Bathroom Window - Remastered 2009,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,spotify:album:0ETFjACtuP2ADo6LFhL6HN,Abbey Road (Remastered),spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,1969-09-26,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25,1,13,118626,https://p.scdn.co/mp3-preview/8b19e64e262264484667e43b49d1f7b4dbd063e2?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,57,spotify:user:adanias,2022-10-21T18:27:51Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",,,,,,FALSE
spotify:track:01SfTM5nfCou5gQL70r6gs,Golden Slumbers - Remastered 2009,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,spotify:album:0ETFjACtuP2ADo6LFhL6HN,Abbey Road (Remastered),spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,1969-09-26,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25,1,14,91760,https://p.scdn.co/mp3-preview/56dbc10b86a06bc3492bef7be129499f39d533ec?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,64,spotify:user:adanias,2022-10-21T18:27:51Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",,,,,,FALSE
spotify:track:5eZrW59C3UgBhkqNlowEID,Carry That Weight - Remastered 2009,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,spotify:album:0ETFjACtuP2ADo6LFhL6HN,Abbey Road (Remastered),spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,1969-09-26,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25,1,15,96466,https://p.scdn.co/mp3-preview/922ad1933c6e088d71aa06e0c45ec6f1d1908a56?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,59,spotify:user:adanias,2022-10-21T18:27:51Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",,,,,,FALSE
spotify:track:5aHHf6jrqDRb1fcBmue2kn,The End - Remastered 2009,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,spotify:album:0ETFjACtuP2ADo6LFhL6HN,Abbey Road (Remastered),spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,1969-09-26,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25,1,16,141613,https://p.scdn.co/mp3-preview/0475f667f7f126652c481c4f8b5e2f57fe27c75b?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,56,spotify:user:adanias,2022-10-21T18:27:51Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",,,,,,FALSE
spotify:track:6UCFZ9ZOFRxK8oak7MdPZu,Her Majesty - Remastered 2009,spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,spotify:album:0ETFjACtuP2ADo6LFhL6HN,Abbey Road (Remastered),spotify:artist:3WrFJ7ztbogyGnTHbHJFl2,The Beatles,1969-09-26,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25,1,17,25986,,FALSE,23,spotify:user:adanias,2022-10-21T18:27:51Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",,,,,,FALSE
spotify:track:2X485T9Z5Ly0xyaghN73ed,Let It Happen,spotify:artist:5INjqkS1o8h1imAzPqGZBb,Tame Impala,spotify:album:79dL7FLiJFOO0EoehUHQBv,Currents,spotify:artist:5INjqkS1o8h1imAzPqGZBb,Tame Impala,2015-07-17,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79,1,1,467586,https://p.scdn.co/mp3-preview/331cabfc6cb4fa8106a7e9f5aa6ea75a8fb446d5?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,75,spotify:user:adanias,2022-10-21T18:29:03Z,"australian psych,neo-psychedelic",,,,,,FALSE
spotify:track:1cCbsojaA6GIT7Y3zuMJ1q,Nangs,spotify:artist:5INjqkS1o8h1imAzPqGZBb,Tame Impala,spotify:album:79dL7FLiJFOO0EoehUHQBv,Currents,spotify:artist:5INjqkS1o8h1imAzPqGZBb,Tame Impala,2015-07-17,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79,1,2,107533,https://p.scdn.co/mp3-preview/ba32f6dfa894deb8c571048c4c26b9bd72c7edb3?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,69,spotify:user:adanias,2022-10-21T18:29:03Z,"australian psych,neo-psychedelic",,,,,,FALSE
spotify:track:1UYj8qTWjneZJDVjUMwMub,The Moment,spotify:artist:5INjqkS1o8h1imAzPqGZBb,Tame Impala,spotify:album:79dL7FLiJFOO0EoehUHQBv,Currents,spotify:artist:5INjqkS1o8h1imAzPqGZBb,Tame Impala,2015-07-17,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79,1,3,255413,https://p.scdn.co/mp3-preview/68628b46d46eabf0bd311943d15a1cf8ebc88f4c?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,66,spotify:user:adanias,2022-10-21T18:29:03Z,"australian psych,neo-psychedelic",,,,,,FALSE
spotify:track:0xtIp0lgccN85GfGOekS5L,Yes I'm Changing,spotify:artist:5INjqkS1o8h1imAzPqGZBb,Tame Impala,spotify:album:79dL7FLiJFOO0EoehUHQBv,Currents,spotify:artist:5INjqkS1o8h1imAzPqGZBb,Tame Impala,2015-07-17,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79,1,4,270680,https://p.scdn.co/mp3-preview/22497f063435c03bbdc26b4d03cb7b96d701ff47?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,70,spotify:user:adanias,2022-10-21T18:29:03Z,"australian psych,neo-psychedelic",,,,,,TRUE
spotify:track:5M4yti0QxgqJieUYaEXcpw,Eventually,spotify:artist:5INjqkS1o8h1imAzPqGZBb,Tame Impala,spotify:album:79dL7FLiJFOO0EoehUHQBv,Currents,spotify:artist:5INjqkS1o8h1imAzPqGZBb,Tame Impala,2015-07-17,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79,1,5,318591,https://p.scdn.co/mp3-preview/86f8090a50f6b20c0561d748349d35d756dd9279?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,79,spotify:user:adanias,2022-10-21T18:29:03Z,"australian psych,neo-psychedelic",,,,,,FALSE
spotify:track:79chzfFIIq7cHkqcYYORk0,Gossip,spotify:artist:5INjqkS1o8h1imAzPqGZBb,Tame Impala,spotify:album:79dL7FLiJFOO0EoehUHQBv,Currents,spotify:artist:5INjqkS1o8h1imAzPqGZBb,Tame Impala,2015-07-17,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79,1,6,55413,https://p.scdn.co/mp3-preview/c7ddeec126009677f73303d3a9866297d7839c83?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,57,spotify:user:adanias,2022-10-21T18:29:03Z,"australian psych,neo-psychedelic",,,,,,FALSE
spotify:track:6K4t31amVTZDgR3sKmwUJJ,The Less I Know The Better,spotify:artist:5INjqkS1o8h1imAzPqGZBb,Tame Impala,spotify:album:79dL7FLiJFOO0EoehUHQBv,Currents,spotify:artist:5INjqkS1o8h1imAzPqGZBb,Tame Impala,2015-07-17,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79,1,7,216320,https://p.scdn.co/mp3-preview/21477d6bae6cd638929a0a13ca64942f43178cef?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,85,spotify:user:adanias,2022-10-21T18:29:03Z,"australian psych,neo-psychedelic",,,,,,TRUE
spotify:track:4a9fW33mYR8LhXBOLUhbfF,Past Life,spotify:artist:5INjqkS1o8h1imAzPqGZBb,Tame Impala,spotify:album:79dL7FLiJFOO0EoehUHQBv,Currents,spotify:artist:5INjqkS1o8h1imAzPqGZBb,Tame Impala,2015-07-17,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79,1,8,228040,https://p.scdn.co/mp3-preview/c2809b05c2208d99d925ccf1270038c464d7e72f?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,59,spotify:user:adanias,2022-10-21T18:29:03Z,"australian psych,neo-psychedelic",,,,,,FALSE
spotify:track:2gNfxysfBRfl9Lvi9T3v6R,Disciples,spotify:artist:5INjqkS1o8h1imAzPqGZBb,Tame Impala,spotify:album:79dL7FLiJFOO0EoehUHQBv,Currents,spotify:artist:5INjqkS1o8h1imAzPqGZBb,Tame Impala,2015-07-17,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79,1,9,108546,https://p.scdn.co/mp3-preview/de5b4fc9771885def01a3ff3bfac4de8cbba08d6?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,63,spotify:user:adanias,2022-10-21T18:29:03Z,"australian psych,neo-psychedelic",,,,,,FALSE
spotify:track:2O99aywAVBhaPrsiJ6zbSS,'Cause I'm A Man,spotify:artist:5INjqkS1o8h1imAzPqGZBb,Tame Impala,spotify:album:79dL7FLiJFOO0EoehUHQBv,Currents,spotify:artist:5INjqkS1o8h1imAzPqGZBb,Tame Impala,2015-07-17,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79,1,10,241986,https://p.scdn.co/mp3-preview/9435cf85ac16f149505f2cf1786a162e86f3dfcc?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,62,spotify:user:adanias,2022-10-21T18:29:03Z,"australian psych,neo-psychedelic",,,,,,TRUE
spotify:track:3I7OmVsk4Hm5LBbs2GmhlD,Reality In Motion,spotify:artist:5INjqkS1o8h1imAzPqGZBb,Tame Impala,spotify:album:79dL7FLiJFOO0EoehUHQBv,Currents,spotify:artist:5INjqkS1o8h1imAzPqGZBb,Tame Impala,2015-07-17,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79,1,11,252026,https://p.scdn.co/mp3-preview/7be63c06faad96722ee27663814985d91da200f3?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,59,spotify:user:adanias,2022-10-21T18:29:03Z,"australian psych,neo-psychedelic",,,,,,FALSE
spotify:track:5h9hkYIBWTZYFRmF6Iz1gt,Love/Paranoia,spotify:artist:5INjqkS1o8h1imAzPqGZBb,Tame Impala,spotify:album:79dL7FLiJFOO0EoehUHQBv,Currents,spotify:artist:5INjqkS1o8h1imAzPqGZBb,Tame Impala,2015-07-17,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79,1,12,185773,https://p.scdn.co/mp3-preview/3b86ad4fe9397daee0cad75730a3e08cf80d0789?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,65,spotify:user:adanias,2022-10-21T18:29:03Z,"australian psych,neo-psychedelic",,,,,,TRUE
spotify:track:52ojopYMUzeNcudsoz7O9D,"New Person, Same Old Mistakes",spotify:artist:5INjqkS1o8h1imAzPqGZBb,Tame Impala,spotify:album:79dL7FLiJFOO0EoehUHQBv,Currents,spotify:artist:5INjqkS1o8h1imAzPqGZBb,Tame Impala,2015-07-17,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79,1,13,363240,https://p.scdn.co/mp3-preview/a5642afc9e6343320ef73273544691b7055bfe6a?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,79,spotify:user:adanias,2022-10-21T18:29:03Z,"australian psych,neo-psychedelic",,,,,,FALSE
